,Date,Original premiere,Directors,Normalised title,Composer,Multiple bill,Multiple bill,Season,Occasion,Language,Dutch,German
168,1896-02-29,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1895-1896,N,German,False,True
169,1896-03-03,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,BedÅich	Smetana,False,False,1895-1896,N,other,False,False
170,1896-03-07,1890,Edward Keurvels & Henry Fontaine,Tantalus,ZdenÄk Fibich,False,False,1895-1896,N,other,False,False
171,1896-03-10,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,N,German,False,True
172,1896-03-14,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,False,1895-1896,G,German,False,True
173,1896-03-17,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,False,1895-1896,N,German,False,True
174,1896-03-21,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,False,1895-1896,N,German,False,True
175,1896-03-19,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,False,1895-1896,N,German,False,True
176,1896-03-24,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,False,1895-1896,N,German,False,True
177,1896-03-27,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,False,1895-1896,N,German,False,True
178,1896-03-28,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,False,1895-1896,N,German,False,True
179,1896-03-31,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,N,German,False,True
180,1896-04-07,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1895-1896,N,German,False,True
181,1896-04-12,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,N,German,False,True
182,1896-04-14,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,N,German,False,True
183,1896-04-19,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1895-1896,N,German,False,True
184,1896-04-21,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1895-1896,N,German,False,True
185,1896-04-26,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,N,German,False,True
186,1896-10-03,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1896-1897,G,German,False,True
187,1896-10-06,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1896-1897,N,German,False,True
188,1896-10-10,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,G,Dutch,True,False
189,1896-10-13,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
190,1896-10-17,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
191,1896-10-20,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
192,1896-10-22,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
193,1896-10-24,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
194,1896-10-27,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,False,1896-1897,N,German,False,True
195,1896-10-31,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
196,1896-11-03,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1896-1897,N,German,False,True
197,1896-11-07,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
198,1896-11-10,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1896-1897,N,German,False,True
199,1896-11-12,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
200,1896-11-14,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
201,1896-11-17,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
202,1896-11-21,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
203,1896-11-24,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
204,1896-11-26,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1896-1897,N,German,False,True
205,1896-11-28,1896,Edward Keurvels & Henry Fontaine,Herbergprinses,Jan Blockx,False,False,1896-1897,N,Dutch,True,False
